Sector,Subsector,Country,Year,Flow,Measure Type,Unit,Value,Marker
telecoms,not-applicable,belgium,year/2018,imports,Current prices,GBP Million,79.6,
dcms-sectors-exc-tourism-and-civil-society,dcms-sectors-exc-tourism-and-civil-society,belgium,year/2018,imports,Current prices,GBP Million,361.9,
creative-industries,advertising-and-marketing,belgium,year/2018,imports,Current prices,GBP Million,17.8,
creative-industries,architecture,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,crafts,belgium,year/2018,imports,Current prices,GBP Million,0.0,
creative-industries,design-and-designer-fashion,belgium,year/2018,imports,Current prices,GBP Million,3.0,
creative-industries,film-tv-radio-and-photography,belgium,year/2018,imports,Current prices,GBP Million,17.7,
creative-industries,it-software-and-computer-services,belgium,year/2018,imports,Current prices,GBP Million,120.5,
creative-industries,publishing,belgium,year/2018,imports,Current prices,GBP Million,2.1,
creative-industries,museums-galleries-and-libraries,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
creative-industries,music-performing-and-visual-arts,belgium,year/2018,imports,Current prices,GBP Million,0.6,
digital-sector,manufacturing-of-electronics-and-computers,belgium,year/2018,imports,Current prices,GBP Million,1.5,
digital-sector,wholesale-of-computers-and-electronics,belgium,year/2018,imports,Current prices,GBP Million,53.4,
digital-sector,publishing-excluding-translation-and-interpretation-activities,belgium,year/2018,imports,Current prices,GBP Million,1.7,
digital-sector,software-publishing,belgium,year/2018,imports,Current prices,GBP Million,0.6,
digital-sector,film-tv-video-radio-and-music,belgium,year/2018,imports,Current prices,GBP Million,17.9,
digital-sector,telecommunications,belgium,year/2018,imports,Current prices,GBP Million,79.6,
digital-sector,computer-programming-consultancy-and-related-activities,belgium,year/2018,imports,Current prices,GBP Million,163.7,
digital-sector,information-service-activities,belgium,year/2018,imports,Current prices,GBP Million,4.5,
digital-sector,repair-of-computers-and-communication-equipment,belgium,year/2018,imports,Current prices,GBP Million,5.1,
cultural-sector,arts,belgium,year/2018,imports,Current prices,GBP Million,0.3,
cultural-sector,film-tv-and-music,belgium,year/2018,imports,Current prices,GBP Million,17.9,
cultural-sector,radio,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,photography,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-crafts,belgium,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,museums-and-galleries,belgium,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,library-and-archives,belgium,year/2018,imports,Current prices,GBP Million,,suppressed
cultural-sector,cultural-education,belgium,year/2018,imports,Current prices,GBP Million,0.0,
cultural-sector,operation-of-historical-sites-and-similar-visitor-attractions,belgium,year/2018,imports,Current prices,GBP Million,0.0,
